Driver,LapNumber,Compound,TyreLife,Stint,LapTimeSeconds
VER,2.0,SOFT,5.0,1.0,96.296
VER,3.0,SOFT,6.0,1.0,96.753
VER,4.0,SOFT,7.0,1.0,96.647
VER,5.0,SOFT,8.0,1.0,97.173
VER,6.0,SOFT,9.0,1.0,97.092
VER,7.0,SOFT,10.0,1.0,97.038
VER,8.0,SOFT,11.0,1.0,97.024
VER,9.0,SOFT,12.0,1.0,97.229
VER,12.0,SOFT,15.0,1.0,97.045
VER,13.0,SOFT,16.0,1.0,97.03
VER,14.0,SOFT,17.0,1.0,97.028
VER,15.0,SOFT,18.0,1.0,97.011
VER,16.0,SOFT,19.0,1.0,97.168
VER,19.0,HARD,2.0,2.0,95.283
VER,20.0,HARD,3.0,2.0,95.16
VER,21.0,HARD,4.0,2.0,95.316
VER,22.0,HARD,5.0,2.0,95.204
VER,23.0,HARD,6.0,2.0,95.216
VER,24.0,HARD,7.0,2.0,95.289
VER,25.0,HARD,8.0,2.0,95.342
VER,26.0,HARD,9.0,2.0,95.223
VER,27.0,HARD,10.0,2.0,95.581
VER,28.0,HARD,11.0,2.0,95.477
VER,29.0,HARD,12.0,2.0,95.793
VER,30.0,HARD,13.0,2.0,95.771
VER,31.0,HARD,14.0,2.0,95.679
VER,32.0,HARD,15.0,2.0,95.886
VER,33.0,HARD,16.0,2.0,95.863
VER,34.0,HARD,17.0,2.0,96.133
VER,35.0,HARD,18.0,2.0,96.018
VER,36.0,HARD,19.0,2.0,96.205
VER,39.0,SOFT,2.0,3.0,92.608
VER,40.0,SOFT,3.0,3.0,96.589
VER,41.0,SOFT,4.0,3.0,95.29
VER,42.0,SOFT,5.0,3.0,94.667
VER,43.0,SOFT,6.0,3.0,94.151
VER,44.0,SOFT,7.0,3.0,94.531
VER,45.0,SOFT,8.0,3.0,94.249
VER,46.0,SOFT,9.0,3.0,94.193
VER,47.0,SOFT,10.0,3.0,94.239
VER,48.0,SOFT,11.0,3.0,94.35
VER,49.0,SOFT,12.0,3.0,94.403
VER,50.0,SOFT,13.0,3.0,94.783
VER,51.0,SOFT,14.0,3.0,94.34
VER,52.0,SOFT,15.0,3.0,94.906
VER,53.0,SOFT,16.0,3.0,95.6
VER,54.0,SOFT,17.0,3.0,95.334
VER,55.0,SOFT,18.0,3.0,95.184
VER,56.0,SOFT,19.0,3.0,94.671
VER,57.0,SOFT,20.0,3.0,94.923
LEC,2.0,SOFT,5.0,1.0,96.862
LEC,3.0,SOFT,6.0,1.0,98.062
LEC,4.0,SOFT,7.0,1.0,97.752
LEC,5.0,SOFT,8.0,1.0,98.131
LEC,6.0,SOFT,9.0,1.0,97.782
LEC,7.0,SOFT,10.0,1.0,98.957
LEC,8.0,SOFT,11.0,1.0,98.136
LEC,9.0,SOFT,12.0,1.0,97.844
LEC,13.0,HARD,2.0,2.0,96.432
LEC,14.0,HARD,3.0,2.0,96.756
LEC,15.0,HARD,4.0,2.0,96.813
LEC,16.0,HARD,5.0,2.0,96.673
LEC,17.0,HARD,6.0,2.0,97.302
LEC,18.0,HARD,7.0,2.0,97.438
LEC,19.0,HARD,8.0,2.0,96.821
LEC,20.0,HARD,9.0,2.0,96.794
LEC,21.0,HARD,10.0,2.0,96.977
LEC,22.0,HARD,11.0,2.0,96.796
LEC,23.0,HARD,12.0,2.0,96.987
LEC,24.0,HARD,13.0,2.0,96.924
LEC,25.0,HARD,14.0,2.0,96.76
LEC,26.0,HARD,15.0,2.0,96.81
LEC,27.0,HARD,16.0,2.0,96.831
LEC,28.0,HARD,17.0,2.0,96.907
LEC,29.0,HARD,18.0,2.0,96.963
LEC,30.0,HARD,19.0,2.0,97.158
LEC,31.0,HARD,20.0,2.0,97.031
LEC,32.0,HARD,21.0,2.0,96.941
LEC,33.0,HARD,22.0,2.0,96.741
LEC,36.0,HARD,2.0,3.0,94.09
LEC,37.0,HARD,3.0,3.0,94.897
LEC,38.0,HARD,4.0,3.0,94.783
LEC,39.0,HARD,5.0,3.0,95.087
LEC,40.0,HARD,6.0,3.0,94.859
LEC,41.0,HARD,7.0,3.0,95.028
LEC,42.0,HARD,8.0,3.0,94.982
LEC,43.0,HARD,9.0,3.0,95.192
LEC,44.0,HARD,10.0,3.0,95.051
LEC,45.0,HARD,11.0,3.0,95.22
LEC,46.0,HARD,12.0,3.0,95.058
LEC,47.0,HARD,13.0,3.0,95.057
LEC,48.0,HARD,14.0,3.0,95.308
LEC,49.0,HARD,15.0,3.0,95.302
LEC,50.0,HARD,16.0,3.0,95.383
LEC,51.0,HARD,17.0,3.0,95.418
LEC,52.0,HARD,18.0,3.0,95.394
LEC,53.0,HARD,19.0,3.0,95.48
LEC,54.0,HARD,20.0,3.0,95.265
LEC,55.0,HARD,21.0,3.0,95.785
LEC,56.0,HARD,22.0,3.0,95.924
LEC,57.0,HARD,23.0,3.0,96.324
HAM,2.0,SOFT,5.0,1.0,98.273
HAM,3.0,SOFT,6.0,1.0,98.303
HAM,4.0,SOFT,7.0,1.0,98.287
HAM,5.0,SOFT,8.0,1.0,98.35
HAM,6.0,SOFT,9.0,1.0,98.183
HAM,7.0,SOFT,10.0,1.0,97.839
HAM,8.0,SOFT,11.0,1.0,98.221
HAM,9.0,SOFT,12.0,1.0,98.645
HAM,11.0,SOFT,14.0,1.0,98.236
HAM,14.0,HARD,2.0,2.0,97.178
HAM,15.0,HARD,3.0,2.0,97.264
HAM,16.0,HARD,4.0,2.0,97.091
HAM,17.0,HARD,5.0,2.0,97.111
HAM,18.0,HARD,6.0,2.0,96.85
HAM,19.0,HARD,7.0,2.0,96.694
HAM,20.0,HARD,8.0,2.0,96.264
HAM,21.0,HARD,9.0,2.0,96.51
HAM,22.0,HARD,10.0,2.0,96.633
HAM,23.0,HARD,11.0,2.0,96.717
HAM,24.0,HARD,12.0,2.0,96.666
HAM,25.0,HARD,13.0,2.0,96.919
HAM,26.0,HARD,14.0,2.0,96.714
HAM,27.0,HARD,15.0,2.0,97.201
HAM,28.0,HARD,16.0,2.0,96.692
HAM,29.0,HARD,17.0,2.0,96.786
HAM,30.0,HARD,18.0,2.0,97.244
HAM,31.0,HARD,19.0,2.0,96.975
HAM,32.0,HARD,20.0,2.0,97.325
HAM,35.0,HARD,2.0,3.0,95.489
HAM,36.0,HARD,3.0,3.0,95.279
HAM,37.0,HARD,4.0,3.0,95.597
HAM,38.0,HARD,5.0,3.0,94.966
HAM,39.0,HARD,6.0,3.0,94.722
HAM,40.0,HARD,7.0,3.0,95.041
HAM,41.0,HARD,8.0,3.0,94.94
HAM,42.0,HARD,9.0,3.0,94.996
HAM,43.0,HARD,10.0,3.0,94.935
HAM,44.0,HARD,11.0,3.0,95.169
HAM,45.0,HARD,12.0,3.0,95.184
HAM,46.0,HARD,13.0,3.0,95.285
HAM,47.0,HARD,14.0,3.0,95.226
HAM,48.0,HARD,15.0,3.0,96.165
HAM,49.0,HARD,16.0,3.0,95.914
HAM,50.0,HARD,17.0,3.0,95.612
HAM,51.0,HARD,18.0,3.0,95.532
HAM,52.0,HARD,19.0,3.0,95.479
HAM,53.0,HARD,20.0,3.0,95.55
HAM,54.0,HARD,21.0,3.0,95.974
HAM,55.0,HARD,22.0,3.0,95.633
HAM,56.0,HARD,23.0,3.0,95.706
HAM,57.0,HARD,24.0,3.0,96.138
