Driver,LapNumber,Compound,TyreLife,Stint,LapTimeSeconds
LEC,1.0,MEDIUM,1.0,1.0,89.361
LEC,2.0,MEDIUM,2.0,1.0,82.883
LEC,3.0,MEDIUM,3.0,1.0,82.65
LEC,4.0,MEDIUM,4.0,1.0,82.914
LEC,5.0,MEDIUM,5.0,1.0,83.063
LEC,6.0,MEDIUM,6.0,1.0,83.835
LEC,7.0,MEDIUM,7.0,1.0,83.102
LEC,8.0,MEDIUM,8.0,1.0,83.402
LEC,9.0,MEDIUM,9.0,1.0,83.561
LEC,10.0,MEDIUM,10.0,1.0,83.8
LEC,11.0,MEDIUM,11.0,1.0,84.178
LEC,12.0,MEDIUM,12.0,1.0,84.3
LEC,13.0,MEDIUM,13.0,1.0,83.51
LEC,14.0,MEDIUM,14.0,1.0,83.996
LEC,15.0,MEDIUM,15.0,1.0,84.039
LEC,18.0,HARD,2.0,2.0,82.198
LEC,19.0,HARD,3.0,2.0,81.985
LEC,20.0,HARD,4.0,2.0,81.753
LEC,21.0,HARD,5.0,2.0,81.589
LEC,22.0,HARD,6.0,2.0,82.011
LEC,23.0,HARD,7.0,2.0,81.864
LEC,24.0,HARD,8.0,2.0,82.463
LEC,25.0,HARD,9.0,2.0,82.6
LEC,26.0,HARD,10.0,2.0,82.735
LEC,27.0,HARD,11.0,2.0,83.196
LEC,28.0,HARD,12.0,2.0,83.068
LEC,29.0,HARD,13.0,2.0,83.124
LEC,30.0,HARD,14.0,2.0,82.705
LEC,31.0,HARD,15.0,2.0,82.853
LEC,32.0,HARD,16.0,2.0,84.187
LEC,33.0,HARD,17.0,2.0,83.328
LEC,34.0,HARD,18.0,2.0,82.962
LEC,35.0,HARD,19.0,2.0,83.04
LEC,36.0,HARD,20.0,2.0,82.768
LEC,37.0,HARD,21.0,2.0,83.024
LEC,38.0,HARD,22.0,2.0,83.515
LEC,42.0,HARD,3.0,3.0,80.627
LEC,43.0,HARD,4.0,3.0,80.999
LEC,44.0,HARD,5.0,3.0,80.74
LEC,45.0,HARD,6.0,3.0,80.881
LEC,46.0,HARD,7.0,3.0,80.458
LEC,47.0,HARD,8.0,3.0,80.379
LEC,48.0,HARD,9.0,3.0,81.017
LEC,49.0,HARD,10.0,3.0,80.884
LEC,50.0,HARD,11.0,3.0,82.376
LEC,51.0,HARD,12.0,3.0,81.681
LEC,52.0,HARD,13.0,3.0,82.154
LEC,53.0,HARD,14.0,3.0,81.875
LEC,54.0,HARD,15.0,3.0,82.01
LEC,55.0,HARD,16.0,3.0,82.015
LEC,56.0,HARD,17.0,3.0,82.768
LEC,57.0,HARD,18.0,3.0,82.45
LEC,58.0,HARD,19.0,3.0,82.265
LEC,59.0,HARD,20.0,3.0,82.196
LEC,60.0,HARD,21.0,3.0,83.072
LEC,61.0,HARD,22.0,3.0,82.855
VER,1.0,SOFT,4.0,1.0,87.92
VER,2.0,SOFT,5.0,1.0,82.628
VER,3.0,SOFT,6.0,1.0,82.734
VER,4.0,SOFT,7.0,1.0,82.998
VER,5.0,SOFT,8.0,1.0,83.029
VER,6.0,SOFT,9.0,1.0,83.413
VER,7.0,SOFT,10.0,1.0,83.343
VER,8.0,SOFT,11.0,1.0,83.663
VER,9.0,SOFT,12.0,1.0,83.969
VER,10.0,SOFT,13.0,1.0,84.313
VER,11.0,SOFT,14.0,1.0,84.177
VER,14.0,MEDIUM,2.0,2.0,81.904
VER,15.0,MEDIUM,3.0,2.0,81.917
VER,16.0,MEDIUM,4.0,2.0,82.198
VER,17.0,MEDIUM,5.0,2.0,82.32
VER,18.0,MEDIUM,6.0,2.0,82.487
VER,19.0,MEDIUM,7.0,2.0,82.523
VER,20.0,MEDIUM,8.0,2.0,82.87
VER,21.0,MEDIUM,9.0,2.0,82.877
VER,22.0,MEDIUM,10.0,2.0,82.821
VER,23.0,MEDIUM,11.0,2.0,82.807
VER,24.0,MEDIUM,12.0,2.0,82.811
VER,25.0,MEDIUM,13.0,2.0,83.054
VER,26.0,MEDIUM,14.0,2.0,83.212
VER,27.0,MEDIUM,15.0,2.0,83.483
VER,28.0,MEDIUM,16.0,2.0,83.309
VER,31.0,HARD,2.0,3.0,81.222
VER,32.0,HARD,3.0,3.0,81.72
VER,33.0,HARD,4.0,3.0,81.545
VER,34.0,HARD,5.0,3.0,81.829
VER,35.0,HARD,6.0,3.0,81.774
VER,36.0,HARD,7.0,3.0,82.121
VER,37.0,HARD,8.0,3.0,81.884
VER,38.0,HARD,9.0,3.0,81.92
VER,39.0,HARD,10.0,3.0,82.098
VER,42.0,MEDIUM,2.0,4.0,80.23
VER,43.0,MEDIUM,3.0,4.0,80.534
VER,44.0,MEDIUM,4.0,4.0,80.691
VER,45.0,MEDIUM,5.0,4.0,80.781
VER,46.0,MEDIUM,6.0,4.0,80.467
VER,47.0,MEDIUM,7.0,4.0,80.85
VER,48.0,MEDIUM,8.0,4.0,80.978
