Driver,Compound,Stint,LapsOnStint,AvgLapTime,DegradationSecPerLap
ALO,HARD,1.0,19,87.146,0.1067
ALO,HARD,2.0,15,85.955,0.0542
ANT,MEDIUM,1.0,13,83.321,0.0148
ANT,HARD,2.0,21,82.499,0.0649
ANT,HARD,3.0,20,81.47,0.079
HAM,SOFT,1.0,10,83.052,0.0107
HAM,HARD,2.0,14,82.489,0.1281
HAM,MEDIUM,3.0,11,81.066,0.0865
HAM,HARD,4.0,21,80.897,0.0775
LEC,MEDIUM,1.0,15,83.906,-0.0607
LEC,HARD,2.0,21,82.713,0.0797
LEC,HARD,3.0,20,81.685,0.1296
NOR,MEDIUM,1.0,12,83.479,-0.0653
NOR,HARD,2.0,20,82.576,0.0706
NOR,HARD,3.0,23,81.559,0.0829
PIA,MEDIUM,1.0,13,84.155,-0.0369
PIA,HARD,2.0,20,82.962,0.0643
PIA,HARD,3.0,24,82.019,0.0757
RUS,MEDIUM,1.0,11,82.791,0.1113
RUS,HARD,2.0,22,82.746,0.0655
RUS,HARD,3.0,22,81.611,0.0908
VER,SOFT,1.0,11,83.835,-0.0602
VER,MEDIUM,2.0,15,82.706,0.1026
VER,HARD,3.0,9,81.79,0.0846
VER,MEDIUM,4.0,22,81.528,0.1202
